scheme,b,h,lambda,T,max_error,max_abs_solution,status
FTBS,3.0,0.05,1.1,1.5,2.1471176537725825,2.709617653772587,stable-looking
FTCS,3.0,0.05,1.1,1.5,813.3307901118109,813.3307901118109,unstable-looking
CTCS,3.0,0.05,1.1,1.5,801.6649935345301,801.6649935345301,unstable-looking
LaxFriedrichs,3.0,0.05,1.1,1.5,0.551550001076881,1.274050001076886,stable-looking
LaxWendroff,3.0,0.05,1.1,1.5,101.24430581417967,101.31497851730099,unstable-looking
BeamWarming,3.0,0.05,1.1,1.5,0.08052604242576633,0.9576868005405323,stable-looking
BTFS,3.0,0.05,1.1,1.5,2.8387017157772593e+106,2.8387017157772593e+106,unstable-looking
BTBS,3.0,0.05,1.1,1.5,0.47398369762175196,0.5301701074460803,stable-looking
BTCS,3.0,0.05,1.1,1.5,0.3749091032510914,0.6304998558341416,stable-looking
CrankNicolson,3.0,0.05,1.1,1.5,0.159921677685275,0.8809206929278376,stable-looking
FTFS,3.0,0.01,0.8,1.5,6.548763855551101e+74,6.548763855551101e+74,unstable-looking
FTBS,3.0,0.01,0.8,1.5,0.08464265941315408,0.9153785773769733,stable-looking
FTCS,3.0,0.01,0.8,1.5,1.7278543862636224e+17,1.7278543862636224e+17,unstable-looking
CTCS,3.0,0.01,0.8,1.5,0.027973447846939337,0.9720265521530544,stable-looking
LaxFriedrichs,3.0,0.01,0.8,1.5,0.12427425467850317,0.8757257453214906,stable-looking
LaxWendroff,3.0,0.01,0.8,1.5,0.02876771381177401,0.9720476123958935,stable-looking
BeamWarming,3.0,0.01,0.8,1.5,0.031061642070030704,0.9763002667986287,stable-looking
BTFS,3.0,0.01,0.8,1.5,nan,nan,failed
BTBS,3.0,0.01,0.8,1.5,0.235185212909796,0.7648147870901978,stable-looking
BTCS,3.0,0.01,0.8,1.5,0.16272839971011033,0.8372716002898835,stable-looking
CrankNicolson,3.0,0.01,0.8,1.5,0.04501376097131027,0.9593677502945007,stable-looking
FTFS,3.0,0.01,0.9,1.5,3.1370574884621913e+71,3.1370574884621913e+71,unstable-looking
FTBS,3.0,0.01,0.9,1.5,0.060394279266242634,0.9396057207337511,stable-looking
FTCS,3.0,0.01,0.9,1.5,4.300412139191045e+18,4.300412139191045e+18,unstable-looking
CTCS,3.0,0.01,0.9,1.5,0.025137289105762517,0.9793668577102282,stable-looking
LaxFriedrichs,3.0,0.01,0.9,1.5,0.08760051077453779,0.914142832202012,stable-looking
LaxWendroff,3.0,0.01,0.9,1.5,0.02327880832132123,0.9767211916786726,stable-looking
BeamWarming,3.0,0.01,0.9,1.5,0.024568458757004974,0.9826706701458594,stable-looking
BTFS,3.0,0.01,0.9,1.5,nan,nan,failed
BTBS,3.0,0.01,0.9,1.5,0.24079709899610158,0.7592029010038922,stable-looking
